T0001 AtmGui main args eed1f14
T0002     Screen#Panel new 
T0038                     Keypad#Panel Button4ActionPerformed evt ActionEvent cmd 4 when 1519728228996 modifiers Button1 on Button 6 71 95x29 alignmentX 0.0 alignmentY 0.5 border AquaButtonBorder Dynamic 3a419706 flags 288 maximumSize minimumSize preferredSize defaultIcon disabledIcon disabledSelectedIcon margin InsetsUIResource top 0 left 2 bottom 0 right 2 paintBorder true paintFocus true pressedIcon rolloverEnabled false rolloverIcon rolloverSelectedIcon selectedIcon text 4 defaultCapable true 
T0039                 Keypad ActionListener#Panel actionPerformed evt ActionEvent cmd Confirm when 1519728231628 modifiers Button1 on Button 6 141 95x29 alignmentX 0.0 alignmentY 0.5 border AquaButtonBorder Dynamic 3a419706 flags 288 maximumSize minimumSize preferredSize defaultIcon disabledIcon disabledSelectedIcon margin InsetsUIResource top 0 left 2 bottom 0 right 2 paintBorder true paintFocus true pressedIcon rolloverEnabled false rolloverIcon rolloverSelectedIcon selectedIcon text Confirm defaultCapable true 
T0040                     Keypad#Panel ButtonConfirmActionPerformed evt ActionEvent cmd Confirm when 1519728231628 modifiers Button1 on Button 6 141 95x29 alignmentX 0.0 alignmentY 0.5 border AquaButtonBorder Dynamic 3a419706 flags 288 maximumSize minimumSize preferredSize defaultIcon disabledIcon disabledSelectedIcon margin InsetsUIResource top 0 left 2 bottom 0 right 2 paintBorder true paintFocus true pressedIcon rolloverEnabled false rolloverIcon rolloverSelectedIcon selectedIcon text Confirm defaultCapable true 
T0041             Screen#Panel displayMessageLine message Enter your PIN 
T0042             Keypad#Panel getInput 
T0043                 Keypad ActionListener#Panel actionPerformed evt ActionEvent cmd 1 when 1519728233100 modifiers Button1 on Button 6 106 95x29 alignmentX 0.0 alignmentY 0.5 border AquaButtonBorder Dynamic 3a419706 flags 288 maximumSize minimumSize preferredSize defaultIcon disabledIcon disabledSelectedIcon margin InsetsUIResource top 0 left 2 bottom 0 right 2 paintBorder true paintFocus true pressedIcon rolloverEnabled false rolloverIcon rolloverSelectedIcon selectedIcon text 1 defaultCapable true 
T0044                     Keypad#Panel Button1ActionPerformed evt ActionEvent cmd 1 when 1519728233100 modifiers Button1 on Button 6 106 95x29 alignmentX 0.0 alignmentY 0.5 border AquaButtonBorder Dynamic 3a419706 flags 288 maximumSize minimumSize preferredSize defaultIcon disabledIcon disabledSelectedIcon margin InsetsUIResource top 0 left 2 bottom 0 right 2 paintBorder true paintFocus true pressedIcon rolloverEnabled false rolloverIcon rolloverSelectedIcon selectedIcon text 1 defaultCapable true 
T0045                 Keypad ActionListener#Panel actionPerformed evt ActionEvent cmd 2 when 1519728233743 modifiers Button1 on Button 107 106 95x29 alignmentX 0.0 alignmentY 0.5 border AquaButtonBorder Dynamic 3a419706 flags 288 maximumSize minimumSize preferredSize defaultIcon disabledIcon disabledSelectedIcon margin InsetsUIResource top 0 left 2 bottom 0 right 2 paintBorder true paintFocus true pressedIcon rolloverEnabled false rolloverIcon rolloverSelectedIcon selectedIcon text 2 defaultCapable true 
T0046                     Keypad#Panel Button2ActionPerformed evt ActionEvent cmd 2 when 1519728233743 modifiers Button1 on Button 107 106 95x29 alignmentX 0.0 alignmentY 0.5 border AquaButtonBorder Dynamic 3a419706 flags 288 maximumSize minimumSize preferredSize defaultIcon disabledIcon disabledSelectedIcon margin InsetsUIResource top 0 left 2 bottom 0 right 2 paintBorder true paintFocus true pressedIcon rolloverEnabled false rolloverIcon rolloverSelectedIcon selectedIcon text 2 defaultCapable true 
T0047                 Keypad ActionListener#Panel actionPerformed evt ActionEvent cmd 3 when 1519728234311 modifiers Button1 on Button 208 106 95x29 alignmentX 0.0 alignmentY 0.5 border AquaButtonBorder Dynamic 3a419706 flags 288 maximumSize minimumSize preferredSize defaultIcon disabledIcon disabledSelectedIcon margin InsetsUIResource top 0 left 2 bottom 0 right 2 paintBorder true paintFocus true pressedIcon rolloverEnabled false rolloverIcon rolloverSelectedIcon selectedIcon text 3 defaultCapable true 
T0048                     Keypad#Panel Button3ActionPerformed evt ActionEvent cmd 3 when 1519728234311 modifiers Button1 on Button 208 106 95x29 alignmentX 0.0 alignmentY 0.5 border AquaButtonBorder Dynamic 3a419706 flags 288 maximumSize minimumSize preferredSize defaultIcon disabledIcon disabledSelectedIcon margin InsetsUIResource top 0 left 2 bottom 0 right 2 paintBorder true paintFocus true pressedIcon rolloverEnabled false rolloverIcon rolloverSelectedIcon selectedIcon text 3 defaultCapable true 
T0049                 Keypad ActionListener#Panel actionPerformed evt ActionEvent cmd 4 when 1519728235087 modifiers Button1 on Button 6 71 95x29 alignmentX 0.0 alignmentY 0.5 border AquaButtonBorder Dynamic 3a419706 flags 288 maximumSize minimumSize preferredSize defaultIcon disabledIcon disabledSelectedIcon margin InsetsUIResource top 0 left 2 bottom 0 right 2 paintBorder true paintFocus true pressedIcon rolloverEnabled false rolloverIcon rolloverSelectedIcon selectedIcon text 4 defaultCapable true 
T0050                     Keypad#Panel Button4ActionPerformed evt ActionEvent cmd 4 when 1519728235087 modifiers Button1 on Button 6 71 95x29 alignmentX 0.0 alignmentY 0.5 border AquaButtonBorder Dynamic 3a419706 flags 288 maximumSize minimumSize preferredSize defaultIcon disabledIcon disabledSelectedIcon margin InsetsUIResource top 0 left 2 bottom 0 right 2 paintBorder true paintFocus true pressedIcon rolloverEnabled false rolloverIcon rolloverSelectedIcon selectedIcon text 4 defaultCapable true 
T0051                 Keypad ActionListener#Panel actionPerformed evt ActionEvent cmd Confirm when 1519728235974 modifiers Button1 on Button 6 141 95x29 alignmentX 0.0 alignmentY 0.5 border AquaButtonBorder Dynamic 3a419706 flags 288 maximumSize minimumSize preferredSize defaultIcon disabledIcon disabledSelectedIcon margin InsetsUIResource top 0 left 2 bottom 0 right 2 paintBorder true paintFocus true pressedIcon rolloverEnabled false rolloverIcon rolloverSelectedIcon selectedIcon text Confirm defaultCapable true 
T0052                     Keypad#Panel ButtonConfirmActionPerformed evt ActionEvent cmd Confirm when 1519728235974 modifiers Button1 on Button 6 141 95x29 alignmentX 0.0 alignmentY 0.5 border AquaButtonBorder Dynamic 3a419706 flags 288 maximumSize minimumSize preferredSize defaultIcon disabledIcon disabledSelectedIcon margin InsetsUIResource top 0 left 2 bottom 0 right 2 paintBorder true paintFocus true pressedIcon rolloverEnabled false rolloverIcon rolloverSelectedIcon selectedIcon text Confirm defaultCapable true 
T0053             BankDatabase authenticateUser userAccountNumber userPIN 1234 1234
T0054                 BankDatabase getAccount accountNumber 1234
T0055                     DatabaseUtilities getAccount accountNumber 1234
T0056                         DatabaseUtilities connectToDatabase dbName credit card db
T0057                         Account new theAccountNumber thePIN theAvailableBalance theTotalBalance 1234 1234 130.0 130.0
T0058                         DatabaseUtilities disconnect 
T0059                 Account validatePIN userPIN 1234
T0060             AtmGui delay ms 2000
T0061             Screen#Panel clearMessageScreen 
T0062         AtmGui#Frame performTransactions 
T0063             AtmGui#Frame displayMainMenu 
T0064                 AtmGui delay ms 1000
T0065                 Screen#Panel clearMessageScreen 
T0066                 Screen#Panel displayMessageLine message Main menu 
T0067                 Screen#Panel displayMessageLine message 1 View my balance
T0068                 Screen#Panel displayMessageLine message 2 Withdraw cash
T0069                 Screen#Panel displayMessageLine message 3 Deposit funds
T0070                 Screen#Panel displayMessageLine message 4 Exit
T0071                 Screen#Panel displayMessageLine message Enter a choice 
T0072                 Keypad#Panel getInput 
T0073                     Keypad ActionListener#Panel actionPerformed evt ActionEvent cmd 3 when 1519728243463 modifiers Button1 on Button 208 106 95x29 alignmentX 0.0 alignmentY 0.5 border AquaButtonBorder Dynamic 3a419706 flags 288 maximumSize minimumSize preferredSize defaultIcon disabledIcon disabledSelectedIcon margin InsetsUIResource top 0 left 2 bottom 0 right 2 paintBorder true paintFocus true pressedIcon rolloverEnabled false rolloverIcon rolloverSelectedIcon selectedIcon text 3 defaultCapable true 
T0074                         Keypad#Panel Button3ActionPerformed evt ActionEvent cmd 3 when 1519728243463 modifiers Button1 on Button 208 106 95x29 alignmentX 0.0 alignmentY 0.5 border AquaButtonBorder Dynamic 3a419706 flags 288 maximumSize minimumSize preferredSize defaultIcon disabledIcon disabledSelectedIcon margin InsetsUIResource top 0 left 2 bottom 0 right 2 paintBorder true paintFocus true pressedIcon rolloverEnabled false rolloverIcon rolloverSelectedIcon selectedIcon text 3 defaultCapable true 
T0075                     Keypad ActionListener#Panel actionPerformed evt ActionEvent cmd Confirm when 1519728244884 modifiers Button1 on Button 6 141 95x29 alignmentX 0.0 alignmentY 0.5 border AquaButtonBorder Dynamic 3a419706 flags 288 maximumSize minimumSize preferredSize defaultIcon disabledIcon disabledSelectedIcon margin InsetsUIResource top 0 left 2 bottom 0 right 2 paintBorder true paintFocus true pressedIcon rolloverEnabled false rolloverIcon rolloverSelectedIcon selectedIcon text Confirm defaultCapable true 
T0076                         Keypad#Panel ButtonConfirmActionPerformed evt ActionEvent cmd Confirm when 1519728244884 modifiers Button1 on Button 6 141 95x29 alignmentX 0.0 alignmentY 0.5 border AquaButtonBorder Dynamic 3a419706 flags 288 maximumSize minimumSize preferredSize defaultIcon disabledIcon disabledSelectedIcon margin InsetsUIResource top 0 left 2 bottom 0 right 2 paintBorder true paintFocus true pressedIcon rolloverEnabled false rolloverIcon rolloverSelectedIcon selectedIcon text Confirm defaultCapable true 
T0077             AtmGui#Frame createTransaction type 3
T0078                 Transaction new userAccountNumber atmScreen atmBankDatabase 1234 Screen 0 0 567x380 invalid alignmentX 0.0 alignmentY 0.0 border flags 16777217 maximumSize minimumSize preferredSize Dimension width 605 height 398 BankDatabase 326de728
T0079                 Deposit#Transaction new userAccountNumber atmScreen atmBankDatabase atmKeypad atmDepositSlot 1234 Screen 0 0 567x380 invalid alignmentX 0.0 alignmentY 0.0 border flags 16777217 maximumSize minimumSize preferredSize Dimension width 605 height 398 BankDatabase 326de728 Keypad 0 0 286x157 invalid layout GroupLayout alignmentX 0.0 alignmentY 0.0 border flags 16777217 maximumSize minimumSize preferredSize Dimension width 230 height 160 DepositSlot 15 75 170x20 disabled alignmentX 0.0 alignmentY 0.5 border AquaButtonBorder Dynamic 3a419706 flags 288 maximumSize minimumSize preferredSize defaultIcon disabledIcon disabledSelectedIcon margin InsetsUIResource top 0 left 2 bottom 0 right 2 paintBorder true paintFocus true pressedIcon rolloverEnabled false rolloverIcon rolloverSelectedIcon selectedIcon text Put The Money defaultCapable true 
T0080             Deposit#Transaction execute 
T0081                 Transaction getBankDatabase 
T0082                 Transaction getScreen 
T0083                 Deposit#Transaction promptForDepositAmount 
T0084                     Transaction getScreen 
T0085                     Screen#Panel clearMessageScreen 
T0086                     Screen#Panel displayMessage message Please enter a deposit amount inCENTS or 0 to cancel 
T0087                     Keypad#Panel getInput 
T0088                         Keypad ActionListener#Panel actionPerformed evt ActionEvent cmd 1 when 1519728247007 modifiers Button1 on Button 6 106 95x29 alignmentX 0.0 alignmentY 0.5 border AquaButtonBorder Dynamic 3a419706 flags 288 maximumSize minimumSize preferredSize defaultIcon disabledIcon disabledSelectedIcon margin InsetsUIResource top 0 left 2 bottom 0 right 2 paintBorder true paintFocus true pressedIcon rolloverEnabled false rolloverIcon rolloverSelectedIcon selectedIcon text 1 defaultCapable true 
T0089                             Keypad#Panel Button1ActionPerformed evt ActionEvent cmd 1 when 1519728247007 modifiers Button1 on Button 6 106 95x29 alignmentX 0.0 alignmentY 0.5 border AquaButtonBorder Dynamic 3a419706 flags 288 maximumSize minimumSize preferredSize defaultIcon disabledIcon disabledSelectedIcon margin InsetsUIResource top 0 left 2 bottom 0 right 2 paintBorder true paintFocus true pressedIcon rolloverEnabled false rolloverIcon rolloverSelectedIcon selectedIcon text 1 defaultCapable true 
T0090                         Keypad ActionListener#Panel actionPerformed evt ActionEvent cmd 0 when 1519728247804 modifiers Button1 on Button 107 141 95x29 alignmentX 0.0 alignmentY 0.5 border AquaButtonBorder Dynamic 3a419706 flags 288 maximumSize minimumSize preferredSize defaultIcon disabledIcon disabledSelectedIcon margin InsetsUIResource top 0 left 2 bottom 0 right 2 paintBorder true paintFocus true pressedIcon rolloverEnabled false rolloverIcon rolloverSelectedIcon selectedIcon text 0 defaultCapable true 
T0091                             Keypad#Panel Button0ActionPerformed evt ActionEvent cmd 0 when 1519728247804 modifiers Button1 on Button 107 141 95x29 alignmentX 0.0 alignmentY 0.5 border AquaButtonBorder Dynamic 3a419706 flags 288 maximumSize minimumSize preferredSize defaultIcon disabledIcon disabledSelectedIcon margin InsetsUIResource top 0 left 2 bottom 0 right 2 paintBorder true paintFocus true pressedIcon rolloverEnabled false rolloverIcon rolloverSelectedIcon selectedIcon text 0 defaultCapable true 
T0092                         Keypad ActionListener#Panel actionPerformed evt ActionEvent cmd 0 when 1519728248604 modifiers Button1 on Button 107 141 95x29 alignmentX 0.0 alignmentY 0.5 border AquaButtonBorder Dynamic 3a419706 flags 288 maximumSize minimumSize preferredSize defaultIcon disabledIcon disabledSelectedIcon margin InsetsUIResource top 0 left 2 bottom 0 right 2 paintBorder true paintFocus true pressedIcon rolloverEnabled false rolloverIcon rolloverSelectedIcon selectedIcon text 0 defaultCapable true 
T0093                             Keypad#Panel Button0ActionPerformed evt ActionEvent cmd 0 when 1519728248604 modifiers Button1 on Button 107 141 95x29 alignmentX 0.0 alignmentY 0.5 border AquaButtonBorder Dynamic 3a419706 flags 288 maximumSize minimumSize preferredSize defaultIcon disabledIcon disabledSelectedIcon margin InsetsUIResource top 0 left 2 bottom 0 right 2 paintBorder true paintFocus true pressedIcon rolloverEnabled false rolloverIcon rolloverSelectedIcon selectedIcon text 0 defaultCapable true 
T0094                         Keypad ActionListener#Panel actionPerformed evt ActionEvent cmd 0 when 1519728249164 modifiers Button1 on Button 107 141 95x29 alignmentX 0.0 alignmentY 0.5 border AquaButtonBorder Dynamic 3a419706 flags 288 maximumSize minimumSize preferredSize defaultIcon disabledIcon disabledSelectedIcon margin InsetsUIResource top 0 left 2 bottom 0 right 2 paintBorder true paintFocus true pressedIcon rolloverEnabled false rolloverIcon rolloverSelectedIcon selectedIcon text 0 defaultCapable true 
T0095                             Keypad#Panel Button0ActionPerformed evt ActionEvent cmd 0 when 1519728249164 modifiers Button1 on Button 107 141 95x29 alignmentX 0.0 alignmentY 0.5 border AquaButtonBorder Dynamic 3a419706 flags 288 maximumSize minimumSize preferredSize defaultIcon disabledIcon disabledSelectedIcon margin InsetsUIResource top 0 left 2 bottom 0 right 2 paintBorder true paintFocus true pressedIcon rolloverEnabled false rolloverIcon rolloverSelectedIcon selectedIcon text 0 defaultCapable true 
T0096                         Keypad ActionListener#Panel actionPerformed evt ActionEvent cmd 0 when 1519728249596 modifiers Button1 on Button 107 141 95x29 alignmentX 0.0 alignmentY 0.5 border AquaButtonBorder Dynamic 3a419706 flags 288 maximumSize minimumSize preferredSize defaultIcon disabledIcon disabledSelectedIcon margin InsetsUIResource top 0 left 2 bottom 0 right 2 paintBorder true paintFocus true pressedIcon rolloverEnabled false rolloverIcon rolloverSelectedIcon selectedIcon text 0 defaultCapable true 
T0097                             Keypad#Panel Button0ActionPerformed evt ActionEvent cmd 0 when 1519728249596 modifiers Button1 on Button 107 141 95x29 alignmentX 0.0 alignmentY 0.5 border AquaButtonBorder Dynamic 3a419706 flags 288 maximumSize minimumSize preferredSize defaultIcon disabledIcon disabledSelectedIcon margin InsetsUIResource top 0 left 2 bottom 0 right 2 paintBorder true paintFocus true pressedIcon rolloverEnabled false rolloverIcon rolloverSelectedIcon selectedIcon text 0 defaultCapable true 
T0098                         Keypad ActionListener#Panel actionPerformed evt ActionEvent cmd Confirm when 1519728250607 modifiers Button1 on Button 6 141 95x29 alignmentX 0.0 alignmentY 0.5 border AquaButtonBorder Dynamic 3a419706 flags 288 maximumSize minimumSize preferredSize defaultIcon disabledIcon disabledSelectedIcon margin InsetsUIResource top 0 left 2 bottom 0 right 2 paintBorder true paintFocus true pressedIcon rolloverEnabled false rolloverIcon rolloverSelectedIcon selectedIcon text Confirm defaultCapable true 
T0099                             Keypad#Panel ButtonConfirmActionPerformed evt ActionEvent cmd Confirm when 1519728250607 modifiers Button1 on Button 6 141 95x29 alignmentX 0.0 alignmentY 0.5 border AquaButtonBorder Dynamic 3a419706 flags 288 maximumSize minimumSize preferredSize defaultIcon disabledIcon disabledSelectedIcon margin InsetsUIResource top 0 left 2 bottom 0 right 2 paintBorder true paintFocus true pressedIcon rolloverEnabled false rolloverIcon rolloverSelectedIcon selectedIcon text Confirm defaultCapable true 
T0100                 Screen#Panel displayMessage message Please insert a deposit envelopecontaining 
T0101                 Screen#Panel displayDollarAmount amount 100.0
T0102                 Screen#Panel displayMessageLine message .
T0103                 Screen#Panel displayPutEnvelopeImage 
T0104                 DepositSlot#Button isEnvelopeReceived 
T0105                     DepositSlot#Button checkEnvelope 
T0106                         DepositSlot ActionListener#Button actionPerformed evt ActionEvent cmd Put The Money when 1519728253605 modifiers Button1 on DepositSlot 15 75 170x20 alignmentX 0.0 alignmentY 0.5 border AquaButtonBorder Dynamic 3a419706 flags 288 maximumSize minimumSize preferredSize defaultIcon disabledIcon disabledSelectedIcon margin InsetsUIResource top 0 left 2 bottom 0 right 2 paintBorder true paintFocus true pressedIcon rolloverEnabled false rolloverIcon rolloverSelectedIcon selectedIcon text Put The Money defaultCapable true 
T0107                             DepositSlot#Button depositSlotactionPerformed evt ActionEvent cmd Put The Money when 1519728253605 modifiers Button1 on DepositSlot 15 75 170x20 alignmentX 0.0 alignmentY 0.5 border AquaButtonBorder Dynamic 3a419706 flags 288 maximumSize minimumSize preferredSize defaultIcon disabledIcon disabledSelectedIcon margin InsetsUIResource top 0 left 2 bottom 0 right 2 paintBorder true paintFocus true pressedIcon rolloverEnabled false rolloverIcon rolloverSelectedIcon selectedIcon text Put The Money defaultCapable true 
T0108                 Screen#Panel displayMessageLine message Your envelope has been received.NOTE The money just deposited will not be available until we verify the amount of anyenclosed cash and your checks clear.
T0109                 Transaction delay ms 5000
T0110                 Transaction getAccountNumber 
T0111                 BankDatabase credit userAccountNumber amount 1234 100.0
T0112                     DatabaseUtilities credit userAccountNumber amount 1234 100.0
T0113                         DatabaseUtilities getAccount accountNumber 1234
T0114                             DatabaseUtilities connectToDatabase dbName credit card db
T0115                             Account new theAccountNumber thePIN theAvailableBalance theTotalBalance 1234 1234 130.0 130.0
T0116                             DatabaseUtilities disconnect 
T0117                         Account credit amount 100.0
T0118                         Account getTotalBalance 
T0119                         Account getAvailableBalance 
T0120                         DatabaseUtilities updateAccountBalance accountNumber availableBalance totalBalance 1234 130.0 230.0
T0121                             DatabaseUtilities connectToDatabase dbName credit card db
T0122                             DatabaseUtilities disconnect 
T0123                 Screen#Panel clearPutEnvelopeImage 
T0124             AtmGui#Frame displayMainMenu 
T0125                 AtmGui delay ms 1000
T0126                 Screen#Panel clearMessageScreen 
T0127                 Screen#Panel displayMessageLine message Main menu 
T0128                 Screen#Panel displayMessageLine message 1 View my balance
T0129                 Screen#Panel displayMessageLine message 2 Withdraw cash
T0130                 Screen#Panel displayMessageLine message 3 Deposit funds
T0131                 Screen#Panel displayMessageLine message 4 Exit
T0132                 Screen#Panel displayMessageLine message Enter a choice 
T0133                 Keypad#Panel getInput 
T0134                     Keypad ActionListener#Panel actionPerformed evt ActionEvent cmd 4 when 1519728263160 modifiers Button1 on Button 6 71 95x29 alignmentX 0.0 alignmentY 0.5 border AquaButtonBorder Dynamic 3a419706 flags 288 maximumSize minimumSize preferredSize defaultIcon disabledIcon disabledSelectedIcon margin InsetsUIResource top 0 left 2 bottom 0 right 2 paintBorder true paintFocus true pressedIcon rolloverEnabled false rolloverIcon rolloverSelectedIcon selectedIcon text 4 defaultCapable true 
T0135                         Keypad#Panel Button4ActionPerformed evt ActionEvent cmd 4 when 1519728263160 modifiers Button1 on Button 6 71 95x29 alignmentX 0.0 alignmentY 0.5 border AquaButtonBorder Dynamic 3a419706 flags 288 maximumSize minimumSize preferredSize defaultIcon disabledIcon disabledSelectedIcon margin InsetsUIResource top 0 left 2 bottom 0 right 2 paintBorder true paintFocus true pressedIcon rolloverEnabled false rolloverIcon rolloverSelectedIcon selectedIcon text 4 defaultCapable true 
T0136                     Keypad ActionListener#Panel actionPerformed evt ActionEvent cmd Confirm when 1519728264376 modifiers Button1 on Button 6 141 95x29 alignmentX 0.0 alignmentY 0.5 border AquaButtonBorder Dynamic 3a419706 flags 288 maximumSize minimumSize preferredSize defaultIcon disabledIcon disabledSelectedIcon margin InsetsUIResource top 0 left 2 bottom 0 right 2 paintBorder true paintFocus true pressedIcon rolloverEnabled false rolloverIcon rolloverSelectedIcon selectedIcon text Confirm defaultCapable true 
T0137                         Keypad#Panel ButtonConfirmActionPerformed evt ActionEvent cmd Confirm when 1519728264376 modifiers Button1 on Button 6 141 95x29 alignmentX 0.0 alignmentY 0.5 border AquaButtonBorder Dynamic 3a419706 flags 288 maximumSize minimumSize preferredSize defaultIcon disabledIcon disabledSelectedIcon margin InsetsUIResource top 0 left 2 bottom 0 right 2 paintBorder true paintFocus true pressedIcon rolloverEnabled false rolloverIcon rolloverSelectedIcon selectedIcon text Confirm defaultCapable true 
T0138             Screen#Panel clearMessageScreen 
T0139             Screen#Panel displayMessageLine message Exiting the system .
T0140             AtmGui delay ms 1000
T0141             Screen#Panel displayMessageLine message Remove your credit card please
T0142             Screen#Panel displayRemoveCardImage 
T0143         Screen#Panel displayMessageLine message Thank you Goodbye 
T0144         AtmGui delay ms 4000
T0145         Screen#Panel clearMessageScreen 
T0146         Screen#Panel clearRemoveCardImage 
T0147         Screen#Panel displayMessageLine message Insert your credit card please 
T0148         Screen#Panel displayInsertCardImage 
T0149         CardSlot#Button checkCard 
